Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Process, plant and machine operatives",143,10.7,-1,12.11,0.8,8.32,8.96,9.14,9.35,10.08,11.41,12.39,12.95,13.71,16.91,2020-01-01
"  Yorkshire and The Humber, Process, plant and machine operatives",72,10.56,-0.1,12.07,2.2,8.37,8.85,9.03,9.23,9.89,11.58,12.62,13.44,14.08,x,2020-01-01
"  Yorkshire and The Humber, Transport and mobile machine drivers and operatives",71,10.83,-1.4,12.15,-0.4,8.25,9.00,9.25,9.53,10.19,11.28,12.31,12.68,13.19,x,2020-01-01
"Yorkshire and The Humber, Elementary occupations",225,9.12,2.5,10.4,3.3,6.84,8.17,8.58,8.72,8.81,9.5,10.13,10.63,11.07,12.97,2020-01-01
"  Yorkshire and The Humber, Elementary trades and related occupations",36,9.81,0.6,10.49,-2.2,7.88,8.72,8.72,8.83,9.21,10.28,10.85,11.29,11.99,x,2020-01-01
"  Yorkshire and The Humber, Elementary administration and service occupations",190,9.01,2.6,10.38,4.4,6.67,7.83,8.38,8.72,8.75,9.36,9.99,10.40,10.97,12.87,2020-01-01
East Midlands,1722,12.65,5.2,15.87,3.8,8.69,9.20,9.59,10.01,11.12,14.53,17.01,18.84,20.62,26.28,2020-01-01
"East Midlands, Managers, directors and senior officials",181,19.07,3.2,22.55,3,9.91,12.10,13.11,14.19,16.36,21.96,25.59,27.89,31.04,39.80,2020-01-01
"  East Midlands, Corporate managers and directors",154,19.87,3.7,23.75,4,10.12,12.76,13.74,15.02,17.71,23.03,26.81,29.17,32.73,40.72,2020-01-01
"  East Midlands, Other managers and proprietors",27,13.93,-0.1,16.17,-2.9,9.40,10.27,11.17,11.94,12.87,15.4,19.28,20.36,x,x,2020-01-01
"East Midlands, Professional occupations",353,20.25,0,22.17,2.2,12.88,15.33,16.01,16.82,18.61,22.27,24.44,25.92,27.44,32.93,2020-01-01
"  East Midlands, Science, research, engineering and technology professionals",86,20.18,1.3,21.12,0.9,12.54,14.60,15.65,16.35,18.12,21.98,24.68,25.94,27.17,x,2020-01-01
"  East Midlands, Health professionals",94,19.2,0.1,21.81,-1.8,13.75,15.66,16.08,16.75,17.72,20.23,22.04,22.76,23.94,x,2020-01-01
"  East Midlands, Teaching and educational professionals",96,23.26,4.5,23.61,3.7,14.35,16.74,18.04,19.36,21.18,25.01,26.62,27.60,28.30,x,2020-01-01
"  East Midlands, Business, media and public service professionals",77,19.51,1,22.35,6.3,10.96,13.42,14.64,15.46,17.25,21.11,23.64,25.86,27.48,x,2020-01-01
"East Midlands, Associate professional and technical occupations",254,14.97,1,17.09,-1,9.62,10.96,11.50,12.17,13.44,16.25,18.90,19.77,20.88,25.55,2020-01-01
"  East Midlands, Science, engineering and technology associate professionals",59,13.12,-3.9,14.66,-2.4,9.10,10.22,10.65,10.96,12.01,14.54,16.01,17.03,18.35,x,2020-01-01
"  East Midlands, Health and social care associate professionals",27,13.22,3,14.06,3.2,9.65,10.67,10.97,11.37,12.7,13.86,14.69,15.64,15.84,x,2020-01-01
"  East Midlands, Protective service occupations",23,18.98,7.2,18.14,3.5,12.05,13.11,14.52,15.58,17.1,19.25,19.75,20.36,x,x,2020-01-01
"  East Midlands, Culture, media and sports occupations",16,12.52,-4.6,16.38,-0.3,x,9.44,10.02,10.32,11.09,13.14,x,x,x,x,2020-01-01
"  East Midlands, Business and public service associate professionals",129,16.03,2.1,18.7,-1.1,9.96,11.46,12.08,12.74,14.56,17.96,20.51,21.77,23.95,28.78,2020-01-01
"East Midlands, Administrative and secretarial occupations",183,10.95,2.5,12.2,-1.3,8.72,9.20,9.58,9.89,10.35,11.64,12.55,13.47,14.21,17.34,2020-01-01
"  East Midlands, Administrative occupations",147,11.18,1.3,12.41,-2.2,8.72,9.44,9.89,10.01,10.62,11.98,12.97,13.81,14.42,17.98,2020-01-01
"  East Midlands, Secretarial and related occupations",36,9.96,3.3,11.22,4.2,8.65,8.84,9.00,9.21,9.58,10.73,11.24,11.73,12.35,x,2020-01-01
"East Midlands, Skilled trades occupations",138,12.35,-0.8,13.6,-0.9,8.03,9.15,9.59,10.12,11.02,13.82,15.17,16.21,17.25,20.26,2020-01-01
"  East Midlands, Skilled metal, electrical and electronic trades",82,13.96,-1.3,14.91,-1,8.77,10.34,11.00,11.69,12.88,15.3,16.79,17.81,18.83,x,2020-01-01
"  East Midlands, Skilled construction and building trades",20,13.5,9.3,12.83,-5.8,8.15,9.74,10.39,10.96,11.62,14.15,15.02,15.55,16.57,x,2020-01-01
