date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-03-02,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-02,Petrol,123.38,2021-03-02,Mini Cooper (3-door),2021,City Car,12.89,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-02,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-03,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-03,Petrol,123.64,2021-03-03,Mini Cooper (3-door),2021,City Car,12.92,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-03,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-04,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-04,Petrol,123.79,2021-03-04,Mini Cooper (3-door),2021,City Car,12.94,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-04,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-05,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-05,Petrol,123.93,2021-03-05,Mini Cooper (3-door),2021,City Car,12.95,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-05,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-08,mean rapid charger,42.50,2021-03-07,Mini Electric (3-door),2021,City Car,11.85,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-08,Petrol,124.32,2021-03-08,Mini Cooper (3-door),2021,City Car,12.99,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-08,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-09,mean rapid charger,42.50,2021-03-07,Mini Electric (3-door),2021,City Car,11.85,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
